posicao,score,compatibilidade,nivel,titulo,empresa,localizacao,fonte,link,matches
39,2,MINIMA,nao_informado,"Information Technology Apprenticeship, IT Service Desk Operations",Kennesaw State University,"Kennesaw, Geórgia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/information-technology-apprenticeship-it-service-desk-operations-at-kennesaw-state-university-4413200000?position=7&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=uqfQ4L8p%2BPhBHOLw4Fx9%2BA%3D%3D,area:TI
40,2,MINIMA,nao_informado,Cybersecurity Analyst Apprentice,IBM,"Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/cybersecurity-analyst-apprentice-at-ibm-4417968815?position=8&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=MlxrpBeQI3SJSBgRmn2cZw%3D%3D,area:TI
41,2,MINIMA,nao_informado,"Global Tech Apprentice Program – Tech Analyst - Jersey City, NJ and New York, NY",Bank of America,"Nova York, Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/global-tech-apprentice-program-%E2%80%93-tech-analyst-jersey-city-nj-and-new-york-ny-at-bank-of-america-4425637485?position=9&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=3vOb1Ovb7bSeeWVqSV%2F9Qw%3D%3D,area:TI
42,2,MINIMA,nao_informado,"Global Tech Apprentice Program – Tech Analyst - Jersey City, NJ and New York, NY",Bank of America,"Jersey City, Nova Jersey, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/global-tech-apprentice-program-%E2%80%93-tech-analyst-jersey-city-nj-and-new-york-ny-at-bank-of-america-4425634535?position=10&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=xcSq2lSsMnfd120xCS8FaA%3D%3D,area:TI
43,2,MINIMA,nao_informado,"Information Technology Apprenticeship, IT Service Desk Operations",Inside Higher Ed,"Kennesaw, Geórgia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/information-technology-apprenticeship-it-service-desk-operations-at-inside-higher-ed-4413976029?position=11&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=hy1zhJcLqW4kuEuzKnQe3g%3D%3D,area:TI
44,2,MINIMA,estagiario,IT Professional Trainee I,City of Santa Fe Springs,"Eureka, Nevada, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-professional-trainee-i-at-city-of-santa-fe-springs-4422215998?position=12&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=zIrizTaKSLdaNP1WVjFY%2Fg%3D%3D,nivel:estagiario
45,2,MINIMA,estagiario,Intern Trainee - NY,Atlas Technica,"Nova York, Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/intern-trainee-ny-at-atlas-technica-4422181203?position=13&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=hWWvX33DIYY%2FAZNp8jpCTA%3D%3D,nivel:estagiario
46,2,MINIMA,nao_informado,Technology Apprentice,Catalyte,"Chicago, Ilinóis, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technology-apprentice-at-catalyte-4414001954?position=16&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=MgI1tAbe%2F%2BPbuw1UeOvGvQ%3D%3D,area:TI
47,2,MINIMA,nao_informado,IT Computer Lab Apprentice,Liberty University,"Lynchburg, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-computer-lab-apprentice-at-liberty-university-4417757452?position=17&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=tfUb1dOjIKaE3bAu3LxQAw%3D%3D,area:TI
48,2,MINIMA,estagiario,IT Trainee,Charles IT,"Middletown, Connecticut, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-trainee-at-charles-it-4413343851?position=18&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=ItUc8o20bR5cJUs5kpevBA%3D%3D,nivel:estagiario
49,2,MINIMA,nao_informado,Student Technical Support Specialist (Part-Time),The Church of Jesus Christ of Latter-day Saints,"Salt Lake City, Utah, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/student-technical-support-specialist-part-time-at-the-church-of-jesus-christ-of-latter-day-saints-4424460706?position=20&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=r3fwKGYhg1gM0fFXDkdfig%3D%3D,area:TI
50,2,MINIMA,nao_informado,IT Help Desk Tier 1,DEX Imaging,"Tampa, Flórida, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-help-desk-tier-1-at-dex-imaging-4425637687?position=22&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=7b675UCrkspiAGsjrJu0LA%3D%3D,area:TI
51,2,MINIMA,nao_informado,IT Apprentice,Michelin,"Asheboro, Carolina do Norte, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-apprentice-at-michelin-4425856070?position=24&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=An2AoqpeCylq49XSdbHl6Q%3D%3D,area:TI
52,2,MINIMA,nao_informado,IT Support Specialist (Part-Time),Sol de Janeiro,Nova Iorque e Região,LinkedIn,https://www.linkedin.com/jobs/view/it-support-specialist-part-time-at-sol-de-janeiro-4388509300?position=26&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=mj7hq6Np%2Br4Qp5aWLAdB5w%3D%3D,area:TI
53,2,MINIMA,nao_informado,Cyber Engineering Apprentice — Paid Career-Change Program (No Tech Background Required),Bletchley Fellowship,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/cyber-engineering-apprentice-%E2%80%94-paid-career-change-program-no-tech-background-required-at-bletchley-fellowship-4423136894?position=29&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=T9mSlPM%2FEhIKXxaGeoyLLw%3D%3D,area:TI
